plot_id	visit_id	date	year	park	gsp_zone	tier	aspect	canopy	habitat	slope_deg	soil_moisture	soil_bare	soil_compaction	soil_compaction_notes	soil_stability	soil_om	special_features	size_ac	observers	walking_directions	plot_description	restoration_stage	ref_object_1	ref_bearing_1	ref_distance_1	ref_dbh_1	ref_object_2	ref_bearing_2	ref_distance_2	ref_dbh_2	ref_object_3	ref_bearing_3	ref_distance_3	ref_dbh_3	latitude	longitude	accuracy_ft	photos	hours	field_notes	qaqc_notes	qaqc_origin	qaqc_score	visit_rank	visit_last	visit_first	visit_n	status
198	198_201209	2012-09-09	2012	Seward Park	Big Toe	2	SE	75-100%	Conifer Deciduous Mixed	26	dry	0-20%	none		none	>1		0.1	"Bill Hlavacek, Malia Caracoglia"	"From the bathroom @ picnic shelter #3, walk west 146 ft. from the men's bathroom door @ 280 degrees toward the base of a large multi-branched Big Leaf Maple."	There is a large grassy area on the southeast edge of the plot. Toward the northern edge of the plot there is a large downed Douglas Fir tree. A large multi-branched Big Leaf Maple is approximately 10 feet to the west of the center marker. There is a leaning Madrone tree approximately 10 feet south of the center marker.; Reference Object 1: Bathroom @ picnic shelter #3; Reference Object 2: ARME	cleared and planted	Bathroom @ picnic shelter #3	100	146	0	ARME	180	10	13					47.55135	-122.2557		1	5				Good +	1	0	1	2	1
198	198_201809	2018-09-13	2018	Seward Park	Big Toe	1	SE	75-100%	Conifer Deciduous Mixed	26	dry	0-20%	none		none	0.5-1		0.1	"EC 2018: NS, CB"	"From the bathroom @ picnic shelter #3, walk west 146 ft. from the men's bathroom door @ 280 degrees toward the base of a large multi-branched Big Leaf Maple."	There is a large grassy area on the southeast edge of the plot. Toward the northern edge of the plot there is a large downed Douglas Fir tree. A large multi-branched Big Leaf Maple is approximately 10 feet to the west of the center marker. There is a leaning Madrone tree approximately 10 feet south of the center marker.; Reference Object 1: Bathroom @ picnic shelter #3; Reference Object 2: ARME	cleared and planted	PSME	92	15.8	22.5	PSME	234	41.5	41					47.55135	-122.2557		3	3		Missing w facing photoâ€¦	EarthCorps 2018		2	1	0	2	1
199	199_201009	2010-09-20	2010	Seward Park	FES2	2	S	75-100%	Madrone Conifer Mixed	8	damp	0-20%	none		none	0.5-1		0.1	"Margaret Metz-Holland, Malia Caracoglia"	From picnic shelter #4 (upper loop road) go NE approx 300ft	"Road is 10-20 from edge, grass area to south of plot, large multi stemmed madrone Ne of center plot."	not in restoration													47.5505609167	-122.249958167		0			"Determined during data collection to have poison oak, probably will not remonitor plot."		Good +	1	0	1	2	0
199	199_201308	2013-08-06	2013	Seward Park	FES2	1	SE	75-100%	Madrone Conifer Mixed	8	dry	0-20%	none		none	0-0.5		0.1	Darrell Howe	"From the south end of the parking area at Shelter #4 on the Seward Park Loop Drive walk south on Drive approximately 100 feet.  On the right curb locate steel Catch Basin grate (30""x 16"")next to ""No Parking"" sign w/ steel post.  From CB travel 110 feet bearing 260-degrees (westerly) between pair of mature PSME.  Center point is north of downed ARME log."	"SE sloping dry site on upslope side of Loop Drive with mature PSME and ARME canopy.  Many mature planted ornamental shrubs present in area.  Spectacular multi-stemmed ARME just NE of plot. Cleared grassy area to SW.  Understory dominated by Honeysuckle and impressive Poison Oak patch with some vines climbing 50 feet into trees.  Initial restoration appears complete as of 2013 but is on edge of newly planted section.; Reference Object 1: Pinus sp. 2-needled w/ reddish bark - planted ornamental?; Reference Object 2: PSME tall, straight and slightly leaning and healthy"	cleared only (not planted)	Pinus sp.	100	6	16.5	PSME	300	10	22.5					47.55056	-122.24996		8	2			FMT vol - GSP 2013	Good -	2	1	0	2	0
200	200_201106	2011-06-13	2011	Seward Park	FES3	2	E	0-25%	Grassland	9	damp	0-20%	none		none	0		0.1	"Darrell Howe, Collene Gaolach"	Take the drive up the loop road @ Seward Park and stop at the parking area near the picnic shelters overlooking the lake (3rd? parking area) - the parking area at the N end of the loop right before it turns back on itself.  Go 193 ft @ 118 degrees from the extremely large PSME at the end of the parking area.	"Grassy open meadow facing down towards the lake.  Restoration area to the S, Picnic shelters to the SW.; ; 43ft tall Snag to SE approximately 72 ft from plot center.  No CWD on plot, mostly a monoculture of field grasses."	unknown	PSME	0	37.5	25	PSME	180	102	21					47.55206	-122.24807			4				Good -	1	0	1	2	0
200	200_201308	2013-08-08	2013	Seward Park	FES3	1	E	0-25%	Grassland	5	dry	20-40%	none		none	0-0.5		0.1	Darrell Howe	Take the drive up the loop road @ Seward Park and stop at the parking area near the picnic shelters overlooking the lake (3rd? parking area) - the parking area at the N end of the loop right before it turns back on itself.  Go 193 ft @ 118 degrees from the extremely large PSME at the end of the parking area.	"Grassy open meadow facing down towards the lake.  Restoration area to the S, Picnic shelters to the SW.; ; 43ft tall Snag to SE approximately 72 ft from plot center.  No CWD on plot, mostly a monoculture of field grasses.  1/2 of plot in full restoration with plantings.  25% of plot blanket mulched.  3/4 of plot planted in Salix.; Reference Object 1: PSME Lone fir in open field - healthy; Reference Object 2: PSME"	partially cleared and planted	PSME	0	37.5	25	PSME	180	102	21					47.55206	-122.24807		6	2			Forterra 2013	Good -	2	1	0	2	0
201	201_201106	2011-06-02	2011	Seward Park	FES4	2	S	75-100%	Conifer Deciduous Mixed	1.6	damp	0-20%	none		none	0-0.5	Mountain beaver sign	0.1	Collene Gaolach; ; Malia Caracogolia	"From the loop drive, park at the far end of the parking at the lot near the end of the loop.  This will be on the W side of the amphitheater.; ;   ; ; Travel S 120 feet along the forest/meadow edge on W side of amphitheater.  When you are at the correct spot, to your W will be a western larch (the 3rd one in from the parking lot) with a large madrone behind it and to E will be approximately the back row of amphitheater seats.; ; ; ; Next proceed 100 ft directly W into the forest to plot center."	"The plot is along the NW edge of a more open area of the forest.; ; There is a large downed log w/i 3 feet N of plot center.; ; There is a small birch w/i 3 feet S of plot center.; ; WITNESS TREES:; ; ALRU 21.5 DBH with dead top 148 degrees, 20 feet from plot center; ; ARME 20 DBH 352 degrees, 37 feet from plot center"	not in restoration	ALRU	148	20	21.5	ARME	352	37	20					47.55062	-122.25278			3				Good +	1	0	1	3	0
201	201_201209	2012-09-08	2012	Seward Park	FES4	1	S	75-100%	Conifer Deciduous Mixed	2	damp	0-20%	none		none	0-0.5	Mountain beaver sign	0.1	Malia Caracoglia	"From the loop drive, park at the far end of the parking lot near the end of the loop. This will be on the West side of the amphitheater. Thrave S 120 feet along the forest/meadow edge on West side of the amphitheater. When you are at the correct spot, to your W will be a non-native Cedar ( the 3rd one in fromt he parking lot) with a large madrone behind it and to the East will be approximately the back from of amphitheater seats. Next proceed 100 ft directly West into the forest to plot center. You will walk through 2012 restored area-open canopy. Plot center is just to the NOrth of this edge."	"The plot is along the NW edge of a more open restored area of the forest. There is a large downed log within 3 feet of the plot center. There is a small birch within 3 feet of the plot center. WINTESS TREES. ALRU 21.5 DBH with dead top 148 degrees, 20 feet from the plot center. ARME 20 DBH 352 degrees, 37 feet from plot center. Plot has a lot of indian plub and oregon grape. South edge of plot is in 2012 restored portion. Witness treee #1 boarders the edge of open/new restoration area.; Reference Object 1: ALRU; Reference Object 2: ARME"	partially cleared (not planted)	ALRU	148	20	21.5	ARME	352	37	20					47.55062	-122.25278			1.5				Good +	2	0	0	3	0
201	201_201310	2013-10-23	2013	Seward Park	FES4	1	S	75-100%	Conifer Deciduous Mixed	2	damp	0-20%	none		none	0-0.5	Mountain beaver sign	0.1	Dylan Mendenhall and Kate Kourbatova	"On the loop drive, park at the lot north of the amphitheater, looking down on it. Facing the amphitheater, walk downhill along the west side of the field until you see an opening into a clearing on the right (~200 feet down from the road). Go there. At the north end of the clearing, there is a lone Madrona. From here walk 50 feet on a bearing of 292 to a large (still living) decayed Red Alder, which is reference tree 1. The center is just inside the woods from here. Good luck!"	The plot is along the NW edge of an open clearing of the forest. There is a large downed log within 3' of the plot center. There is a small birch tree also within 3' of the plot center.; Reference Object 1: ALRU; Reference Object 2: ARME	cleared and planted	ALRU	148	20	21.5	ARME	352	37	20					47.55062	-122.25278			4			FMT vol - GSP 2013	Good +	3	1	0	3	0
202	202_201109	2011-09-12	2011	Seward Park	GO	2	S	75-100%	Madrone Conifer Mixed	6.5	dry	0-20%	none		none	0.5-1	poison oak	0.1	"Meredith Stone, Cadi Poile, Gwen Wessels, Catherine Carter, Luke McGrath, Malia Caracoglia"	"Pass shelter #1, go E past rotary turnaround at E end of S parking lot. Follow paved trail east to stone trail marker ""Oak Grove - Clark Prairie Trail."" The marker is north from bench marked ""Mary Hussman, Pat Groom."" Plot is 52 degrees and 162 feet from roofed information sign next to the rotary."	Very large madrone next to plot. Redwood NE of plot. Apple tree NE of trail marker. Grassy area in plot may be restored. Plot faces south to Lake Washington. 2 paved trails and bench are visible from plot.	not in restoration	stone trail sign	210	62	5	Malus sp.	56	30	6.5					47.54948	-122.25307		4	15		3/4 of site is lawn.  Park intends to restore to natural area.  Other 1/4 has poison oak.		Good +	1	0	1	2	1
202	202_201408	2014-08-31	2014	Seward Park	GO	1	S	75-100%	Madrone Conifer Mixed	6	dry	0-20%	heavy	Half of plot is machine mowed lawn with occasional pedestrian use.	none	0-0.5	Lawn and Poison Oak	0.1	Darrell Howe	See baseline report with following additional detail.  Starting at Parks Kiosk at the turnaround proceed to upper paved trail.  Travel east to stone marker which is 62 feet from plot centerpoint (see reference objects for baseline.)	Front(south) half of plot is mowed grass area and there does not appear to be any restoration activity ongoing.  See baseline for more info.; Reference Object 1: PSME; Reference Object 2: ARME	not in restoration	PSME	210	3	8	ARME	300	9	20					47.54948	-122.25307		9	2			FMT vol - GSP 2014	Good -	2	1	0	2	1
203	203_201106	2011-06-23	2011	Seward Park	Hatchery	2	E	50-75%	Conifer Deciduous Mixed	6.8	damp	0-20%	none		none	0-0.5	Mountain beaver sign	0.1	Margaret Metz-Holland; ; Tad Anderson; ; Loren McElvain; ; Jammie Kingham; ; Malia Caracoglia	"Park at far end of loop road; ; Walk down road marked ""Authorized Vehicles Only"" to the east to the waterfront walking trail; ; Turn left (North) and proceed approximately 1/4 mile to Main Hatchery Road entrance with locked gate (be sure you have a key) walk up road to the bathrooms on the left; turn left at lower dirt road; follow road approx 140 ft to very large downed log on right side, proceed SW side of log approx 40ft up from road to plot center"	"Plot bordered on east and west by dirt roads;; ; Old hatchery pond bordering SW side;; ; large downed log through center of plot, beginning from witness tree snag;; ; house visible from south end of plot up a small hill;; ; Plot center in depression on south side of downed log"	unknown	CWD	315	30	50	snag	172	25	51					47.5561159533	-122.249101595		1	9				Good +	1	0	1	3	1
203	203_201408	2014-08-19	2014	Seward Park	Hatchery	1	E	75-100%	Conifer Deciduous Mixed	5	dry	0-20%	light	Mowing at east.  Abandoned concrete fish pond at west and mulch dumped at west.	none	0-0.5	"Road, Mountain beaver sign"	0.1	Darrell Howe	Same as baseline.  Center point about 2 ft from log.	Restoration completed  about 2 years ago.  No signs of regen trees being planted.  Active signs of Mountain Beaver burrows and foraging.  Many small plants grazed including trees.  East edge of plot at drive being mowed.  More than 1/3 of site covered in moss.  Woodchips dumped on west edge of plot.; Reference Object 1: CWD; Reference Object 2: snag	cleared and planted	CWD	315	30	50	snag	172	25	51					47.55612	-122.2491		5	2			FMT vol - GSP 2014	Good -	2	0	0	3	1
203	203_202009	2020-09-10	2020	Seward Park	Hatchery	1	E	50-75%	Conifer Deciduous Mixed	6.8	damp	20-40%	moderate	Site history - former hatchery tank location	none	0-0.5	Mountain beaver burrows	0.1	Beth Fancher and Mike Rockwell	"Park at far end of loop road; ; Walk down road marked ""Authorized Vehicles Only"" to the east to the waterfront walking trail; ; Turn left (North) and proceed approximately 1/4 mile to Main Hatchery Road entrance with locked gate (be sure you have a key) walk up road to the bathrooms on the left; turn left at lower dirt road; follow road approx 140 ft to very large downed log on right side, proceed SW side of log approx 40ft up from road to plot center."	"Plot bordered on east and west by dirt roads;; ; Old hatchery pond bordering SW side;; ; Large downed log through center of plot, beginning from reference object #1 (snag);; ; House visible from south end of plot up a small hill;; ; Plot center is located in a depression, on south side of downed log, about 1 ft from log."	not in restoration	Snag	310	30	50	Stump	172	25	51					47.5561159533	-122.249101595		4	6			EarthCorps 2020	Good +	3	1	0	3	1
204	204_201208	2012-08-25	2012	Seward Park	Inner Arch	2	E	50-75%	Madrone Conifer Mixed	5.7	dry	0-20%	light	trail	none	0-0.5	Trail	0.1	"Mechelle Gamble, Karis Jones, Zach Fortenbaugh"	"From the Nature Center, take the main trail behind the center (starts out paved), following the stairs and continue on main trail.  Turns into dirt.  past the open fields. The plot is after the first open area, the doug fir witness tree is circa the trail, on your right."	"Between the Doug Fir and Madrone trees (reference trees), the plot is a mostly open fir-madrone forest bordering a field, possibly seasonal wetland habitat.  Center is between two small sapling doug firs.  Center is east approx 30 ft from trail"	unknown	PSME	250	30	45	ARME	360	18	40.6					47.55048	-122.25549		1	9				Unknown	1	1	1	1	0
205	205_201309	2013-09-30	2013	Seward Park	LE2	2	NE	25-50%	Madrone Conifer Mixed	10	damp	40-60%	moderate	Human activities/social trails	none	>1	Trail	0.1	"Vincent, Pablo, Amanda"	"Going NE on Seward Park Rd, pass the amphitheater on your left and a parking lot on your right. At the end of the parking lot there's a sign that says ""Poison Oak"". Continue on Seward Park Rd NE approx 400 ft past the ""Poison Oak"" sign, where you should see another sign on your right that says ""Parallel Parking Only"". Walk approx 40 ft at 122 degrees from the ""Parallel Parking Only"" sign to find the plot."	"There is a large Pacific Madrone just SW of the center. Also, multiple Madrones NW of the center, very close to the street.; Reference Object 1: ARME; Reference Object 2: Sign A ""Parallel Parking Only"" sign"	partially cleared (not planted)	ARME	252	3	19.5	Sign	312	40						47.55038	-122.2494			6			Forterra 2013	Good +	1	1	1	1	0
206	206_201307	2013-07-18	2013	Seward Park	LE3 Edge	2	E	0-25%	Riparian Forest	7	damp	20-40%	moderate	"Drainage, shoreline, road/trail"	erosion	0-0.5	Lake	0.05	Amy Kaeser & Darrell Howe	Park at Shelter 5 and walk to the access road. Follow the access road NE to the trail. Then walk N on trail approx. 400 ft to plot.	"Plot is located between the Seward Park lakeside loop trail and lake. Plot center lies along draining/social trail off main trail, 20 ft. from curb to lake. South edge has previous restoration work; Reference Object 1: ARME; Reference Object 2: Catchbasin Catchbasin Drain"	unknown	ARME	310	20	34.200000000000003	Catchbasin	220	46						47.55415	-122.2467			4			Unknown (CedarRiver)	Good -	1	1	1	1	0
207	207_201308	2013-08-05	2013	Seward Park	LE4	2	NE	25-50%	Conifer Deciduous Mixed	42.4	damp	40-60%	heavy	"tail, hill slope"	slumping	>1	"Trail, Lake"	0.05	Amy Kaeser & Justin Hill	"Same as LE-3 start, continue walking north (counter clockwise around loop). Plot center is just before (South) of a large, live, downed Western Red Cedar (THPL). Plot center is between the 2 large Douglas Firs just S of downed tree. On right (east) side of trail."	"Plot center lies 16 ft NE of walking trail between 2 large Douglas Firs. S tree 33"" DBH, N tree 35.3"" DBH; Reference Object 1: Downed THPL; Reference Object 2: PSME closest to road"	not in restoration	Downed THPL	326	32		PSME	182	5.5	33					47.55978	-122.24905			4			Unknown (CedarRiver)	Unknown	1	1	1	1	0
208	208_201309	2013-09-30	2013	Seward Park	MF5-N	2	NW	25-50%	Madrone Conifer Mixed	0	damp	0-20%	none		none	0-0.5		0.1	"Sonja Rosas, Cathy Bradley, Alexa Cabullos"	"From the parking lot walk north on the paved road past the swimming dock. Keep walking north until you see a stone mile marker on the water side of th road that says ""1/2"". From there walk 275 feet until you reach a thicket of dogwood and thimbleberry on your left and a Douglas-fir on your right. Head east into the woods walking past the Douglas-fir about 80 feet. You will see two large madrones growing right next to each other."	To get to the plot center walk towards the two Pacific madrones growing next to each other then face NW and walk 10 feet to a Douglas-fir and Pacific madrones growing next to each other. The center is between the madrones and Douglas-fir.; Reference Object 1: ARME; Reference Object 2: PSME	not in restoration	ARME	120	1	5.4	PSME	340	1	28					47.55813	-122.25415			1.5			Forterra 2013	Good +	1	1	1	1	0
209	209_201311	2013-11-21	2013	Seward Park	MF11	2	Flat	50-75%	Conifer Deciduous Mixed	0	saturated	0-20%	light	social trails throughout site	none	0-0.5	Wetland	0.1	Malia Caracoglia and Justin Howell	"Park at ""Upper Trailhead"".  This is a main trail after you start rounding back on the road loop in park.  Walk the sqebeqsed trail, this is road-like with bollards at entrance.  Take trail about 50 ft. to first side trail on left.  You will take the ""to woodpecker"" trail, taking the first right fork.  Follow this trail until you see a very large snag on your right (east).  The snag butts up right against trail.  If you get to four rock steps you have gone to far, snag is about 20 feet before steps.  This snag is Reference object #2.  Walk a bearing of 260degrees and 200ft."	"Wetland, flat.  Two large cedars N and NE of center with large Ash.  Large downed log northwest outside of plot and northeast outside of plot.  Large cluster of red twig dogwood to south/southwest of plot and large stand of salmonberry cluster to east/southeast of plot.  Very muddy at time of monitoring, in November.; Reference Object 1: FRLA; Reference Object 2: snag Very Large Douglas Fir Snag at edge of trail."	cleared only (not planted)	FRLA	48	21	30.5	snag	80	200	70					47.5537	-122.252		5	3			contractor - GSP 2013 - Applied Ecology	Good +	1	0	1	2	1
209	209_201910	2019-10-04	2019	Seward Park	MF11	1	Flat	50-75%	Conifer Deciduous Mixed	0	damp	0-20%	light	social trails throughout site	none	0-0.5	Wetland	0.1	"Kyvan Elep, Nora Landri, Nicolette Burtis"	"Park at ""Upper Trailhead"".  This is a main trail after you start rounding back on the road loop in park.  Walk the sqebeqsed trail, this is road-like with bollards at entrance.  Take trail about 50 ft. to first side trail on left.  You will take the ""to woodpecker"" trail, taking the first right fork.  Follow this trail until you see a very large snag on your right (east).  The snag butts up right against trail.  If you get to four rock steps you have gone to far, snag is about 20 feet before steps.  This snag is Reference object #2.  Walk a bearing of 260degrees and 200ft."	"Wetland, flat.  Two large cedars N and NE of center with large Ash.  Large downed log northwest outside of plot and northeast outside of plot.  Large cluster of red twig dogwood to south/southwest of plot and large stand of salmonberry cluster to east/southeast of plot.  Very muddy at time of monitoring, in November.; Reference Object 1: FRLA; Reference Object 2: snag Very Large Douglas Fir Snag at edge of trail."	cleared and planted	FRLA	48	21	30.5	snag	80	200	70					47.5537	-122.252		5	3			EarthCorps 2019		2	1	0	2	1
210	210_201107	2011-07-14	2011	Seward Park	MF5-N	2	NW	75-100%	Conifer Deciduous Mixed	7.4	dry	0-20%	none		none	0.5-1	Mountain beaver sign	0.1	"Paul Shannon, Ella Elman"	"Walk north on the Erratic Trail until you reach the large clearing, which is also a junction with the recently (2011) closed social trail.  Leave clearing at the west-south-west edge, then walk north west 100 feet to center of plot."	"Center: medium-sized cedar.  Very distinctive maple with burl and thick base, on east edge.  Doug Fir, large, 20 feet southwest of maple.  Large madrone snag in southwest quadrant."	unknown	ACMA	116	34	53	THPL	55	4	33					47.5593	-122.25319			8				Good +	1	0	1	3	1
210	210_201408	2014-08-24	2014	Seward Park	MF5-N	1	NW	75-100%	Conifer Deciduous Mixed	7	dry	0-20%	none	Mt. Beaver activity.	none	0.5-1	Mountain beaver sign	0.1	Darrell Howe	See baseline.  Erractic Trail to clearing under conifers.  Closed social trail to the N.E. of clearing.  Plot is open and westerly from clearing past large maple (reference tree #1).	See baseline.  Snag (likely alder) in S.W. quad has signs of pileated woodpecker activity.  Numerous signs and burrows of Mt Beaver - Aplodontia rufa  (see images).  1/2 dozen dead regen plantings of bareroot conifers (hemlock) from several years ago with red/white flagging observed within plot.  Both groundcovers enchanters nightshade and foamflower not observed from baseline report.; Reference Object 1: ACMA burl at base and cavity on eastside 20' off ground.  Baseline data misleading 180 degrees.; Reference Object 2: THPL healthly cedar next to centerpoint.	cleared and planted	ACMA	296	34	53	THPL	55	4	33					47.5593	-122.25319		7	2			FMT vol - GSP 2014	Good -	2	0	0	3	1
210	210_202008	2020-08-26	2020	Seward Park	MF5-N	1	NW	75-100%	Conifer Deciduous Mixed	7.4	dry	0-20%	none		none	0.5-1	Mountain beaver sign	0.1	"Nikki Johnson, Mike Rockwell"	"Walk north on the Erratic Trail until you reach the large clearing, which is also a junction with the recently (2011) closed social trail.  Leave clearing at the west-south-west edge, then walk north west 100 feet to center of plot."	"Center: medium-sized cedar.  Very distinctive maple with burl and thick base, on east edge.  Doug Fir, large, 20 feet southwest of maple.  Large madrone snag in southwest quadrant."	unknown	ACMA	116	34	53	THPL	55	4	33					47.5593	-122.25319		4	8			EarthCorps 2020	Good +	3	1	0	3	1
211	211_201109	2011-09-01	2011	Seward Park	MF5-S	2	NW	75-100%	Conifer Deciduous Mixed	10.2	dry	0-20%	none		none	0-0.5	Gully	0.1	Nhut M. (Jack) Phan; Tuan Le; Malia Caracoglia; Stuart Klorfine; Karen Cleghorn.	"Walk North from the Ceramics Center on the Perimeter Road. Turn right (East) at the large stone marker ""Andrews Bay Trailhead.""  Walk up the trail and take the first left, continue following the path. Arriving at a large, downed log with graffiti-like crosshatching on its end that has been sawn through to allow passage on the path, turn left into the woods, following the log to its end.  At the northern end of the log is the plot centerpoint."	"A downed log lies in the SE quadrant of the plot.  At the southern end of the plot is a stump.  From the center, in a northwesterly direction, one can see a tall Oregon Ash which forks approximately 5 feet above ground level.  The plot center is adjacent to and west of a tall Douglas Fir."	unknown	POBA	74	53	42	FRLA	312	63	31					47.55575	-122.25364		1	16				Good ++	1	0	1	3	1
211	211_201408	2014-08-24	2014	Seward Park	MF5-S	1	NW	75-100%	Conifer Deciduous Mixed	10	dry	0-20%	none	Mt Beaver activity present in north half of plot.	none	0-0.5	"Mountain beaver sign, Gully"	0.1	D. Howe	Same as Baseline.  Note: Once off of Andrews Bay Trail follow the Licorice Fern Trail for approximately 200 yards to cut log.  The center point of the plot is less than 100 feet off the trail.	Same as Baseline.  Note: Ash is outside the plot in the low swale.  Mt Beaver sign in NE quad.; Reference Object 1: POBA outside plot to east; Reference Object 2: PSME Healthy	cleared and planted	POBA	74	53	42	PSME	90	2	24					47.55575	-122.25364		7	2			FMT vol - GSP 2014	Good -	2	0	0	3	1
211	211_202008	2020-08-26	2020	Seward Park	MF5-S	1	NW	75-100%	Conifer Deciduous Mixed	10	dry	0-20%	none	Mt Beaver activity present in north half of plot.	none	0-0.5	"Mountain beaver sign, Gully"	0.1	"Nikki Johnson, Mike Rockwell"	Same as Baseline.  Note: Once off of Andrews Bay Trail follow the Licorice Fern Trail for approximately 200 yards to cut log.  The center point of the plot is less than 100 feet off the trail.	Same as Baseline.  Note: Ash is outside the plot in the low swale.  Mt Beaver sign in NE quad.; Reference Object 1: POBA outside plot to east; Reference Object 2: PSME Healthy	cleared and planted	POBA	74	53	42	PSME	90	2	24					47.55575	-122.25364		4	2			EarthCorps 2020	Good -	3	1	0	3	1
212	212_201207	2012-07-27	2012	Seward Park	Madrone Edge	2	SW	75-100%	Madrone Conifer Mixed	7.4	dry	0-20%	none		none	0.5-1		0.1	"Katherine Plimpton, Malia Caracoglia"	"Park in the first parking lot of the loop road . You should see a swing set to the south of the lot. Go to the south east corner of the lot. By the corner parking stall, you should see a metal post in the pavement a few feet tall. Stand by the metal post and take a bearing of 208 degrees, and walk in that direction 212ft to the center point of the plot. The center is between a large Douglas Fir and a large Madrone."	"Ref tree 1: very large Douglas Fir in NW quadrant near center, tree is between two large Madrones. Ref tree 2: Big Leaf Maple in SW quadrant. The north side of the plot is right at the edge of the grassy area. Can see large open meadow to west. There is a large cluster of thimble berry bushes in the NW quadrant of the plot."	not in restoration	PSME	312	4	44	ACMA	238	24	21					47.54991	-122.25454		1	5				Good +	1	0	1	3	1
212	212_201310	2013-10-22	2013	Seward Park	Madrone Edge	1	SW	75-100%	Madrone Conifer Mixed	7	dry	0-20%	none		none	0.5-1		0.1	Dylan Mendenhall and Kate Kourbatova	"Park in the first parking lot of the loop road . You should see a swing set to the south of the lot. Go to the south east corner of the lot. By the corner parking stall, you should see a metal post in the pavement a few feet tall. Stand by the metal post and take a bearing of 212 degrees, and walk in that direction 200ft to the center point of the plot. The center is between a large Douglas Fir and a large Madrona."	"Ref tree 1: very large Douglas Fir in NW quadrant near center, tree is between two large Madronas. Ref tree 2: Big Leaf Maple in SW quadrant. The north side of the plot is right at the edge of the grassy area. Can see large open meadow to west. There is a large cluster of thimble berry bushes in the west side of the plot.; Reference Object 1: PSME; Reference Object 2: ACMA"	partially cleared (not planted)	PSME	312	4	44	ACMA	238	24	21					47.54991	-122.25454			4			FMT vol - GSP 2013	Good +	2	0	0	3	1
212	212_201910	2019-10-04	2019	Seward Park	Madrone Edge	1	SW	75-100%	Madrone Conifer Mixed	7	dry	0-20%	none		none	0.5-1		0.1	"Kyvan Elep, Nora Landri, Nicolette Burtis"	"Park in the first parking lot of the loop road . You should see a swing set to the south of the lot. Go to the south east corner of the lot. By the corner parking stall, you should see a metal post in the pavement a few feet tall. Stand by the metal post and take a bearing of 212 degrees, and walk in that direction 200ft to the center point of the plot. The center is between a large Douglas Fir and a large Madrona."	"Ref tree 1: very large Douglas Fir in NW quadrant near center, tree is between two large Madronas. Ref tree 2: Big Leaf Maple in SW quadrant. The north side of the plot is right at the edge of the grassy area. Can see large open meadow to west. There is a large cluster of thimble berry bushes in the west side of the plot.; Reference Object 1: PSME; Reference Object 2: ACMA"	cleared and planted	PSME	312	4	44	ACMA	238	24	21					47.54991	-122.25454			4			EarthCorps 2019		3	1	0	3	1
213	213_201208	2012-08-07	2012	Seward Park	Trail8	2	E	75-100%	Conifer Deciduous Mixed	8.3	dry	0-20%	light	trail through west side of plot	none	0-0.5	Trail	0.1	"Asher Christl, David Sohlstrom"	"Park in the lot next to picnic shelter #3, the first parking area on your right as you drive the loop road. Locate the metal Jobox behind the restroom. From the Jobox, walk about 225ft SW towards the forest aiming for the trail that leads into the forest. Take a left down the trail once you are in the forest. Follow the trail south for 260 feet."	There are two large Bigleaf maples by the trail.  Walk about 30ft E from the maples to find the center stake.  A large Coast Redwood is 14ft to the NE from the stake.; Reference Object 1: SESE; Reference Object 2: THPL	unknown	SESE	29	14	29	THPL	312	22	1.5					47.54974	-122.25555			4				Unknown	1	1	1	1	0